"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","61","Editor test","deleteSkill","","","","owner, invalid skillName",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","62","HeroValidator test","Hero surname tests","","","","1 letter surname",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","25","WorkDelivery test","","","","","getWorkNames positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","363","WorkDelivery test","","","","","createWork positive",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","204","HeroValidator test","Hero resume tests","","","","Empty name resume",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","58","Editor test","createSkill","","","","owner, skillDelivery error",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","409","HeroDelivery test","","","","","setBirthdate negative",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","143","SkillDelivery test","","","","","setSkillName positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","190","EventBus test","","","","","off test",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","267","SkillValidator test","Skill description tests","","","","1 letter description",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","307","HeroDelivery test","","","","","setName negative",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","26","WorkValidator test","Work name tests","","","","1 letter name",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","261","SkillValidator test","Skill name tests","","","","Empty name",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","25","WorkValidator test","Work name tests","","","","0 letter name",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","487","HeroDelivery test","","","","","setPhoto negative",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","169","HeroDelivery test","","","","","getActionChain positive",""
